label,t_stock,a_stock,c_stock,blob_full,blob_unw,blob_k8,blob_k12,blob_k16,blob_k24,n_marc_tok,n_cce_tok,marc_title,cce_title
1,1.0000,1.0000,0.9987,0.8637,0.8333,0.8595,0.8637,0.8637,0.8637,10,12,Desperate women,Desperate women.
1,1.0000,1.0000,0.9987,0.2381,0.2581,0.1502,0.2168,0.1853,0.2260,26,13,John Spring's Arizona,John Spring's Arizona.
1,1.0000,1.0000,0.9985,0.6370,0.6190,0.6130,0.6339,0.6368,0.6370,16,18,Kinetics and mechanism a study of homogeneous chem,Kinetics and mechanism; a study of homogeneous che
1,1.0000,1.0000,0.9964,0.5003,0.4872,0.6477,0.4083,0.3961,0.4563,31,27,"Art of the printed book, 1455-1955 masterpieces of",Art of the printed book 1455 - 1955
1,1.0000,1.0000,0.9987,0.4760,0.4500,0.3939,0.3565,0.5055,0.4760,19,10,The Wycliffe Bible commentary,The Wycliffe Bible commentary.
1,0.6465,1.0000,0.9853,0.6171,0.5000,0.8181,0.6358,0.6524,0.6171,20,13,Olson's small boat seamanship,Small boat seamanship.
1,1.0000,0.7920,0.9968,0.5900,0.5238,0.4430,0.5059,0.5419,0.5900,19,13,Some social principles of Orestes A. Brownson,Some social principles of Orestes A. Brownson.
1,1.0000,1.0000,0.9944,0.5096,0.4400,0.5182,0.5561,0.5195,0.5096,22,14,"Politics and nationalist awakening in South India,","Politics and nationalist awakening in South India,"
1,0.8727,0.5129,0.9826,0.6175,0.6429,0.5351,0.6175,0.6175,0.6175,11,12,The home place,The home place.
1,1.0000,1.0000,0.9987,0.1602,0.1389,0.0752,0.1767,0.2464,0.1900,34,7,The cultivation of Christmas trees,The cultivation of Christmas trees
1,1.0000,0.4277,0.9854,0.3430,0.3810,0.3187,0.3028,0.3016,0.3430,20,9,What America stands for,What America stands for
1,1.0000,1.0000,0.9927,0.5859,0.5417,0.6192,0.6028,0.5643,0.5859,13,24,"Joe Bailey, the last democrat","Joe Bailey, the last democrat"
1,1.0000,1.0000,0.9985,0.5754,0.5217,0.7821,0.5653,0.5860,0.5754,18,17,The adoption of innovation by local government,The Adoption of innovation by local government
1,1.0000,1.0000,0.9987,0.6116,0.6296,0.6208,0.5380,0.5507,0.6116,21,23,"Letters from California, 1846-1847","Letters from California, 1846-1847. Edited, with a"
1,1.0000,1.0000,0.9960,0.2985,0.2692,0.1928,0.2857,0.2939,0.3014,25,8,Inspection of metals,Inspection of metals
1,1.0000,1.0000,0.9987,0.4440,0.3684,0.5180,0.4454,0.4440,0.4440,11,15,The bespoken mile,The bespoken mile.
1,0.6979,1.0000,0.9896,0.5448,0.5625,0.5030,0.5289,0.5448,0.5448,12,13,Infinity,Infinity
0,1.0000,1.0000,0.0517,0.5995,0.5833,0.6169,0.5402,0.5595,0.5995,19,19,The A.I.S.C. textbook of structural shop drafting,The A. I. S. C. textbook of structural shop drafti
1,1.0000,1.0000,0.9987,0.7517,0.6667,0.6425,0.7693,0.7626,0.7517,17,13,Straight up the story of vertical flight,Straight up; the story of vertical flight.
1,1.0000,1.0000,0.9987,0.5445,0.5556,0.4976,0.6228,0.5028,0.5445,21,21,Men and methods of newspaper advertising,Men and methods of newspaper advertising
1,1.0000,1.0000,0.9969,0.2756,0.2750,0.2326,0.2210,0.2455,0.2693,24,27,Inorganic colloid chemistry,Inorganic colloid chemistry
1,1.0000,1.0000,0.9987,0.4790,0.5000,0.2889,0.2542,0.3284,0.3613,36,18,A field guide to the mammals field marks of all sp,A field guide to the mammals.
1,1.0000,1.0000,0.9987,0.6070,0.5882,0.4963,0.4996,0.6070,0.6070,15,12,"My life, my stage","My life, my stage."
1,0.3964,1.0000,0.9019,0.2929,0.3571,0.0800,0.1722,0.1440,0.2697,28,10,Economics,Economics
1,1.0000,1.0000,0.9987,0.4099,0.4138,0.2890,0.3663,0.4253,0.4099,24,17,"Pictorial supplement to Denver, South Park & Pacif",Pictorial supplement to Denver South Park & Pacifi
1,1.0000,1.0000,0.9892,0.4249,0.2727,0.5989,0.4713,0.4568,0.4249,20,8,Why the treaty of Trianon is void,Why the treaty of Trianon is void.
1,1.0000,1.0000,0.9987,0.3926,0.4000,0.4056,0.3670,0.3081,0.3971,25,10,A primer of formal logic,Primer of formal logic.
1,1.0000,0.6728,0.9891,0.8171,0.7568,0.8169,0.8682,0.8161,0.7695,37,28,Microsomal particles and protein synthesis papers ,Microsomal particles and protein synthesis.
1,1.0000,1.0000,0.9987,0.6019,0.6250,0.6899,0.6274,0.6019,0.6019,15,11,The United Nations & the business world,The United Nations & the business world.
1,1.0000,1.0000,0.9987,0.5339,0.4815,0.6266,0.4821,0.4791,0.5339,23,17,"Class fertility trends in England and Wales, 1876-","Class fertility trends in England and Wales, 1876–"
1,1.0000,1.0000,0.9892,0.5397,0.4286,0.5436,0.5397,0.5397,0.5397,12,8,Fighter command,Fighter command
1,1.0000,1.0000,0.9987,0.8159,0.7778,0.7831,0.7628,0.8017,0.8159,17,15,Biblical sites in the Holy Land,Biblical sites in the Holy Land.
1,0.7521,1.0000,0.9928,0.5392,0.5312,0.3776,0.3971,0.5011,0.5066,28,21,John Harington of Stepney Tudor gentleman; his lif,John Harington of Stepney: Tudor gentleman
1,1.0000,1.0000,0.9907,0.2138,0.2500,0.0810,0.0595,0.1315,0.1889,32,13,Poets of the English language,Poets of the English language
1,1.0000,1.0000,0.9987,0.8826,0.8571,0.8505,0.8804,0.8826,0.8826,13,13,Discoverers for medicine,Discoverers for medicine.
1,0.3925,1.0000,0.9225,0.4553,0.4545,0.2912,0.4118,0.4205,0.4553,18,14,Poems the 1645 ed,Poems
0,0.0000,0.0000,0.0429,0.0623,0.1091,0.0000,0.0000,0.0000,0.0256,45,16,The very obliging flowers,A.
1,1.0000,1.0000,0.9892,0.7320,0.6471,0.7871,0.7523,0.7320,0.7320,14,14,Germany: economic and labour conditions under fasc,"Germany, economic and labour conditions under fasc"
1,1.0000,1.0000,0.9987,0.4092,0.4000,0.2716,0.3088,0.2844,0.3269,40,16,A comparative analysis of selected approaches to n,A comparative analysis of selected approaches to N
1,1.0000,1.0000,0.9987,0.4656,0.4500,0.4868,0.4554,0.4469,0.4656,20,9,Under the triple suns,Under the triple suns.
1,1.0000,1.0000,0.9987,0.7397,0.6977,1.0000,1.0000,0.8196,0.6643,32,41,Microbiology and pathology for nurses,Microbiology and pathology for nurses
1,0.7777,1.0000,0.9950,0.4901,0.4762,0.5322,0.4050,0.4494,0.4901,11,20,The Jacobins,The Jacobins
1,1.0000,1.0000,0.9987,0.8624,0.8444,0.8057,0.8615,0.8935,0.9249,41,42,The formation of capital,The formation of capital
1,1.0000,1.0000,0.9987,0.7433,0.7358,0.5966,0.7031,0.7589,0.7689,40,52,The travels of Jedediah Smith a documentary outlin,The travels of Jedediah Smith; a documentary outli
1,1.0000,1.0000,0.9987,0.7021,0.6800,0.7851,0.6504,0.6548,0.7021,19,23,As others see us American history in the foreign p,As others See us; American history in the foreign
1,1.0000,1.0000,0.9987,0.8778,0.8571,0.8400,0.8111,0.8778,0.8778,14,12,A manual for computer-assisted legal research,A Manual for computer-assisted legal research
1,1.0000,1.0000,0.9987,0.8605,0.7917,1.0000,1.0000,0.9201,0.8605,21,22,The story of the Grand Canyon,The story of the Grand Canyon.
1,1.0000,0.5567,0.9939,0.5857,0.5909,0.3445,0.4961,0.5228,0.5941,52,53,The fiord region of east Greenland,… The fiord region of east Greenland
1,1.0000,1.0000,0.9987,0.6524,0.6000,0.8255,0.7759,0.6307,0.6524,24,16,Grammar for reading German a second year workbook ,Grammar for reading German
1,1.0000,1.0000,0.9987,0.7288,0.7500,0.6241,0.6497,0.6700,0.7288,19,16,"Heart of darkness, and The secret sharer","Heart of darkness, and The secret sharer"
1,1.0000,1.0000,0.9987,0.4653,0.4706,0.3600,0.4379,0.4193,0.4442,24,26,After repeal a study of liquor control administrat,After repeal; a study of liquor control administra
